,,,,,,,Problem: Single-Server Queuing System,,,,,,,,,
"On the average, # of customers per hour to arrive is 6",,,,,,,,,,,,,,,,
Drive through window can serve 4 customers per hour an average ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Assumptions:,,,,,,,,,,,,,,,,
Interarrival times Exponentially distributed R.V. with parameter lambda=,,,,,,6,,,,PDF of Exponential distribution:,,,,,,
Service times Exponentially distributed R.V. with parameter mu=,,,,,,4,,,,,,,,,,
"(to generate an exponential random number, for ex. use -lambda*ln(rand(), where lambda is the parameter)",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Generate solutions for:,,,,,,,,,,,,,,,,
Estimate fraction of time the drive-through window is busy,,,,,,,,,,,,,,,,
Find average # of customers present in the system,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Advance the ""Clock Time"" of the simulation from 0 as the simulation progresses",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Definitions:,,,,,,,,,,,,,,,,
Event #,the number of the event (either arrival or departure occurred). Simulate 100 events,,,,,,,,,,,,,,,
ET,Event Type (either arrival or departure),,,,,,,,,,,,,,,
IT,"Interarrival Time, i.e. time between customer arrivals",,,,,,,,,,,,,,,
ST,"Service Time, i.e. time required for service for successive customers",,,,,,,,,,,,,,,
TM,current Clock Time,,,,,,,,,,,,,,,
SS ,"status of the server (0 = idle, 1=busy)",,,,,,,,,,,,,,,
#WL,number of customers  waiting in line,,,,,,,,,,,,,,,
AT,time of the next arrival,,,,,,,,,,,,,,,
DT,time of the next departure (set 9999 if the server is idle),,,,,,,,,,,,,,,
#INSYS,number of customers in the system,,,,,,,,,,,,,,,